ID,LLM,Ratio_VD_S,Ratio_Nom,Ratio_LW_S,av_nominal_deps_NN,cl_av_deps,nn_all_nominal_deps_NN_struct,volume,abundance,mattr_50,evenness_50,disparity,dispersion_per_100,QWE_Score,BERTScore_F1
lyrics00400,Gemini,0.8667,2.2444,0.3333,1.45744680851,2.13888888889,0.031914893617,317,171,0.768209,0.962372,1.041958,9.148265,0.6661,0.7849
lyrics00401,Gemini,0.75,2.2222,0.5833,1.57746478873,2.6,0.0704225352113,267,144,0.756697,0.957234,1.052632,7.116105,0.8328,0.8582
lyrics00402,Gemini,0.4667,2.75,0.4,1.69230769231,2.52941176471,0.0769230769231,311,188,0.781298,0.966272,1.027027,8.360129,0.7577,0.8398
lyrics00403,Gemini,0.8667,2.0833,0.4667,1.37254901961,2.59459459459,0.0294117647059,345,169,0.818716,0.966788,1.041667,5.797101,0.7085,0.8113
lyrics00404,Gemini,0.4737,2.3125,0.6316,1.69369369369,2.5641025641,0.0,386,157,0.762611,0.95275,1.076336,8.031088,0.7015,0.7824
lyrics00405,Gemini,0.5714,2.2941,0.7143,1.74358974359,2.33333333333,0.0,128,81,0.765823,0.954824,1.030303,7.8125,0.6721,0.8123
lyrics00406,Gemini,1.0,2.6087,0.8,1.45,2.61904761905,0.05,199,113,0.7408,0.938222,1.037234,8.040201,0.777,0.8313
lyrics00407,Gemini,0.7273,1.9697,0.4545,1.45161290323,2.53846153846,0.0161290322581,223,116,0.754598,0.964911,1.0,13.004484,0.8182,0.8525
lyrics00408,Gemini,0.9,1.697,0.8,1.57894736842,2.55172413793,0.0,219,114,0.739765,0.952334,1.046512,6.392694,0.5877,0.801
lyrics00409,Gemini,1.0,1.963,0.5,1.52941176471,2.42105263158,0.0588235294118,183,111,0.771343,0.96317,1.051282,9.836066,0.6908,0.8021
lyrics00410,Gemini,0.6429,2.15,0.5714,1.57954545455,2.67647058824,0.0227272727273,320,172,0.808339,0.974586,1.014706,8.125,0.8784,0.8554
lyrics00411,Gemini,1.0,2.3103,0.3846,1.74603174603,2.625,0.015873015873,229,120,0.728556,0.940546,1.020833,6.9869,0.7584,0.8136
lyrics00412,Gemini,0.5714,2.45,0.8571,1.52272727273,2.47058823529,0.0,158,100,0.770459,0.939112,1.048193,3.797468,0.7263,0.8175
lyrics00413,Gemini,1.0,1.8214,0.75,1.58490566038,2.54545454545,0.0,196,97,0.762449,0.959219,1.0,8.163265,0.7523,0.8246
lyrics00414,Gemini,0.9231,2.4,0.6923,1.67857142857,2.7,0.0,302,157,0.768854,0.955569,1.065574,8.609272,0.6534,0.7837
lyrics00415,Gemini,0.9,1.4286,0.6,1.37735849057,2.75,0.0,205,104,0.757308,0.968084,1.024691,14.146341,0.761,0.8206
lyrics00416,Gemini,0.7,2.0833,0.5,1.64583333333,2.68181818182,0.0,184,120,0.843111,0.971091,1.0,5.434783,0.8663,0.8505
lyrics00417,Gemini,0.5833,1.9355,0.5,1.53968253968,2.45454545455,0.047619047619,215,137,0.821325,0.975336,1.0,8.837209,0.799,0.8435
lyrics00418,Gemini,0.7273,2.0294,0.4545,1.47692307692,2.7037037037,0.107692307692,224,143,0.796914,0.96468,1.0,8.482143,0.7406,0.8241
lyrics00419,Gemini,0.75,2.4419,0.5625,1.59,2.37142857143,0.02,331,169,0.752624,0.94269,1.051095,7.55287,0.7525,0.8241
lyrics00420,Gemini,1.0,2.5,0.5455,1.49180327869,2.52380952381,0.0,194,104,0.723172,0.953842,1.024691,8.762887,0.7924,0.8291
lyrics00421,Gemini,0.9286,1.7727,0.7857,1.475,2.4,0.0125,292,152,0.744033,0.95297,1.044715,6.164384,0.7598,0.8059
lyrics00422,Gemini,0.7692,1.5,0.3077,1.4406779661,2.74074074074,0.0338983050847,231,134,0.798242,0.967388,1.040816,8.658009,0.884,0.8516
lyrics00423,Gemini,0.8,2.0357,0.6,1.67796610169,2.75,0.0,219,131,0.766588,0.96457,1.02,9.589041,0.862,0.8527
lyrics00424,Gemini,1.0,1.931,0.4,1.54545454545,2.40909090909,0.0363636363636,186,114,0.797518,0.958918,1.022727,5.913978,0.653,0.8015
lyrics00425,Gemini,0.4545,2.5357,0.5455,1.59322033898,2.8,0.0338983050847,218,129,0.783432,0.959134,1.018868,7.33945,0.7774,0.8256
lyrics00426,Gemini,0.8,1.6774,0.8,1.78,2.34782608696,0.12,189,112,0.805286,0.971454,1.068182,9.52381,0.7694,0.8197
lyrics00427,Gemini,0.9412,2.1224,0.7059,1.57291666667,2.58695652174,0.0729166666667,361,176,0.769231,0.964635,1.021739,10.249307,0.7727,0.832
lyrics00428,Gemini,0.9375,1.7447,0.5,1.58333333333,2.68292682927,0.0357142857143,311,174,0.822137,0.978082,1.041958,9.967846,0.4907,0.7897
lyrics00429,Gemini,0.8571,1.8611,0.4286,1.59701492537,2.63333333333,0.0597014925373,269,163,0.802909,0.969825,1.069565,7.434944,0.7974,0.8422
lyrics00430,Gemini,0.875,1.35,1.0,1.41176470588,2.69230769231,0.0196078431373,206,107,0.748662,0.954517,1.025,8.252427,0.6804,0.821
lyrics00431,Gemini,0.9333,2.2609,0.8,1.51,2.525,0.03,342,179,0.757474,0.953149,1.028777,7.017544,0.6642,0.8078
